"","RouteNumber","rte_id","firstyear","firstcover","lastyear","lastcover"
"1",11402,175,2000,0.756749937,2019,0.455967701
"2",2021,13,2000,0.56196309,2019,0.475352971
"3",2036,24,2007,0.310058096,2017,0.31936452
"4",2038,25,2012,0.748574405,2012,0.748574405
"5",2066,43,2000,0.454521047,2012,0.431013395
"6",2214,57,2000,0.617054787,2014,0.579002137
"7",2218,60,2001,0.539253072,2012,0.530143454
"8",25005,287,2002,0.260483209,2018,0.161307591
"9",25010,289,2000,0.420472214,2019,0.18183127
"10",25108,315,2000,0.664315008,2019,0.663913505
"11",27031,347,2000,0.068337731,2019,0.061543536
"12",27032,348,2000,0.85106886,2019,0.840363378
"13",27050,360,2000,0.585561242,2017,0.378961757
"14",42026,427,2000,0.25762023,2019,0.257281553
"15",42122,435,2000,0.305286123,2019,0.304165807
"16",52003,658,2004,0.414721679,2019,0.405786699
"17",53075,680,2003,0.548065825,2018,0.545988194
"18",63002,854,2000,0.63486741,2019,0.627462486
"19",63010,858,2000,0.874486088,2019,0.853505212
"20",63024,864,2000,0.88342426,2019,0.866080395
"21",63108,870,2000,0.965772073,2017,0.904317386
"22",63109,871,2000,0.765195813,2019,0.761059928
"23",63232,898,2000,0.551483786,2019,0.494525547
"24",63311,901,2000,0.459483317,2019,0.333696228
"25",7111,112,2000,0.442975767,2019,0.406541264
"26",76537,1318,2012,0.909812285,2014,0.894809929
"27",80112,1348,2000,0.807229635,2019,0.545715053
"28",82015,1361,2000,0.707665505,2019,0.448590434
"29",88023,1440,2000,0.81362996,2019,0.576661188
"30",88025,1442,2000,0.768029315,2019,0.501156399
"31",88028,1444,2000,0.733887376,2019,0.416334718
"32",88049,1458,2000,0.706571319,2019,0.485624319
"33",88914,1473,2000,0.835212069,2019,0.61323655
