"","Transect","RouteNumber","Year","CountryNum","NumStops","TA","ObsN","StartWind","RunType","FirstObs","Forest.cover"
"1","11003.2000",11003,2000,124,4,35,1030167,2,1,1,0.624350546
"2","11003.2001",11003,2001,124,4,37,1030167,3,1,1,0.624350546
"3","11003.2002",11003,2002,124,4,27,1030167,2,1,1,0.624350546
"4","11003.2003",11003,2003,124,4,24,1030167,1,1,1,0.624350546
"5","11003.2004",11003,2004,124,4,35,1030167,1,1,1,0.624350546
"6","11003.2005",11003,2005,124,4,34,1030167,1,1,1,0.624350546
"7","11003.2006",11003,2006,124,4,42,1030167,0,1,1,0.624297529
"8","11003.2007",11003,2007,124,4,37,1030167,1,1,1,0.624297529
"9","11003.2008",11003,2008,124,4,36,1030167,2,1,1,0.624297529
"10","11003.2009",11003,2009,124,4,36,1030167,1,1,1,0.624191496
"11","11003.2010",11003,2010,124,4,36,1030167,1,1,1,0.624191496
"12","11003.2011",11003,2011,124,4,26,1030167,3,1,1,0.624191496
"13","11003.2012",11003,2012,124,4,26,1030167,2,1,1,0.677075602
"14","11003.2013",11003,2013,124,4,36,1030167,2,1,1,0.677128618
"15","11003.2014",11003,2014,124,4,34,1030167,1,1,1,0.67662496
"16","11003.2015",11003,2015,124,4,40,1030167,1,1,1,0.67662496
"17","11003.2016",11003,2016,124,4,42,1030167,1,1,1,0.67662496
"18","11003.2017",11003,2017,124,3,28,1030167,2,1,1,0.571837557
"19","11003.2018",11003,2018,124,2,18,1030167,0,1,1,0.523459866
"20","11003.2019",11003,2019,124,2,15,1030167,0,1,1,0.518317252
"21","11005.2000",11005,2000,124,3,15,1090269,0,1,1,0.443553533
"22","11005.2001",11005,2001,124,3,17,1090269,1,0,1,0.443442555
"23","11005.2002",11005,2002,124,3,14,1090269,0,1,1,0.443387065
"24","11005.2003",11005,2003,124,3,20,1090269,2,1,1,0.440862303
"25","11005.2004",11005,2004,124,3,10,1090269,0,1,1,0.436867075
"26","11005.2005",11005,2005,124,3,8,1090269,0,1,1,0.436367672
"27","11005.2006",11005,2006,124,3,11,1090269,1,1,1,0.434924951
"28","11005.2007",11005,2007,124,3,9,1090269,0,1,1,0.434453292
"29","11005.2008",11005,2008,124,3,16,1090269,0,1,1,0.434453292
"30","11005.2009",11005,2009,124,3,7,1090269,0,1,1,0.434286824
"31","11005.2010",11005,2010,124,3,15,1090269,0,1,1,0.434286824
"32","11005.2018",11005,2018,124,3,26,1041171,1,1,2,0.434009378
"33","11005.2019",11005,2019,124,3,31,1041171,0,1,1,0.430263852
"34","11006.2001",11006,2001,124,2,13,980823,1,1,2,0.700664434
"35","11006.2002",11006,2002,124,2,12,980823,0,1,1,0.700193575
"36","11006.2003",11006,2003,124,2,18,980823,0,1,1,0.698467092
"37","11006.2004",11006,2004,124,1,4,980823,0,1,1,0.69626975
"38","11006.2005",11006,2005,124,1,8,980823,0,1,1,0.69626975
"39","11006.2006",11006,2006,124,1,7,980823,1,1,1,0.695511144
"40","11006.2007",11006,2007,124,1,4,980823,0,1,1,0.695380349
"41","11006.2008",11006,2008,124,1,5,980823,0,1,1,0.694987967
"42","11006.2009",11006,2009,124,1,6,980823,0,1,1,0.693287643
"43","11006.2010",11006,2010,124,1,8,980823,0,1,1,0.692973737
"44","11006.2011",11006,2011,124,1,6,980823,0,1,1,0.692869101
"45","11006.2012",11006,2012,124,1,6,980823,0,1,1,0.694726379
"46","11006.2013",11006,2013,124,1,10,980823,0,1,1,0.69425552
"47","11006.2014",11006,2014,124,1,8,980823,0,1,1,0.684367479
"48","11006.2015",11006,2015,124,1,5,980823,0,1,1,0.680129748
"49","11006.2016",11006,2016,124,1,9,980823,0,1,1,0.679580412
"50","11006.2017",11006,2017,124,1,6,980823,0,1,1,0.678141676
"51","11006.2018",11006,2018,124,1,7,980823,0,1,1,0.676807576
"52","11007.2000",11007,2000,124,3,19,1000095,2,1,1,0.572793997
"53","11007.2001",11007,2001,124,3,18,1000095,1,1,1,0.571342499
"54","11007.2002",11007,2002,124,3,16,1000095,2,1,1,0.568384729
"55","11007.2003",11007,2003,124,3,16,1000095,4,1,1,0.567234485
"56","11007.2005",11007,2005,124,3,24,1000095,4,1,1,0.563427726
"57","11007.2007",11007,2007,124,3,17,1000095,3,1,1,0.561483267
"58","11007.2008",11007,2008,124,3,10,1000095,0,1,1,0.559566194
"59","11007.2009",11007,2009,124,3,17,1000095,3,1,1,0.558991072
"60","11007.2010",11007,2010,124,3,14,1000095,1,1,1,0.558936298
"61","11007.2015",11007,2015,124,3,21,981387,3,1,2,0.55841595
"62","11008.2000",11008,2000,124,1,11,990404,0,1,1,0.619468311
"63","11008.2002",11008,2002,124,1,10,990404,0,1,1,0.618310125
"64","11008.2003",11008,2003,124,1,10,1020376,0,1,2,0.618202386
"65","11008.2004",11008,2004,124,1,7,1020376,0,1,1,0.618094648
"66","11008.2005",11008,2005,124,1,9,1020376,0,1,1,0.617717564
"67","11008.2013",11008,2013,124,1,8,981302,0,1,2,0.62181162
"68","11009.2000",11009,2000,124,1,6,1150240,0,1,1,0.693801216
"69","11009.2001",11009,2001,124,1,6,1150240,0,1,1,0.687291209
"70","11009.2002",11009,2002,124,1,5,1150240,0,1,1,0.685035548
"71","11009.2003",11009,2003,124,1,1,1150240,2,1,1,0.683322388
"72","11009.2004",11009,2004,124,1,9,1150240,2,1,1,0.682865545
"73","11009.2005",11009,2005,124,1,6,1150240,2,1,1,0.676840933
"74","11009.2006",11009,2006,124,1,2,1150240,2,1,1,0.674956457
"75","11009.2007",11009,2007,124,1,3,1150240,0,1,1,0.66470605
"76","11009.2008",11009,2008,124,1,9,1150240,1,1,1,0.657196699
"77","11010.2000",11010,2000,124,2,11,1150240,5,0,1,0.431317506
"78","11010.2001",11010,2001,124,2,12,1150240,2,1,1,0.431264036
"79","11010.2002",11010,2002,124,2,7,1150240,2,1,1,0.430729334
"80","11010.2003",11010,2003,124,2,6,1150240,2,1,1,0.429980751
"81","11010.2004",11010,2004,124,2,9,1150240,0,1,1,0.429419313
"82","11010.2005",11010,2005,124,2,8,1150240,2,1,1,0.428296439
"83","11010.2006",11010,2006,124,2,16,1150240,2,1,1,0.422361245
"84","11010.2007",11010,2007,124,2,10,1150240,2,1,1,0.422013688
"85","11010.2008",11010,2008,124,2,3,1150240,0,1,1,0.420222436
"86","11010.2009",11010,2009,124,2,9,1150240,4,1,1,0.418484654
"87","11010.2011",11010,2011,124,2,7,1150240,2,1,1,0.417949952
"88","11010.2012",11010,2012,124,2,11,1150240,2,1,1,0.423457384
"89","11017.2000",11017,2000,124,10,69,1020186,0,1,1,0.770111338
