"","Transect","RouteNumber","Year","CountryNum","NumStops","TA","ObsN","StartWind","RunType","FirstObs","Forest.cover"
"1","11003.2000",11003,2000,124,5,1,1030167,2,1,1,0.624350546
"2","11003.2001",11003,2001,124,5,0,1030167,3,1,1,0.624350546
"3","11003.2002",11003,2002,124,5,0,1030167,2,1,1,0.624350546
"4","11003.2003",11003,2003,124,5,0,1030167,1,1,1,0.624350546
"5","11003.2004",11003,2004,124,5,0,1030167,1,1,1,0.624350546
"6","11003.2005",11003,2005,124,5,0,1030167,1,1,1,0.624350546
"7","11003.2006",11003,2006,124,5,0,1030167,0,1,1,0.624297529
"8","11003.2007",11003,2007,124,5,0,1030167,1,1,1,0.624297529
"9","11003.2008",11003,2008,124,5,1,1030167,2,1,1,0.624297529
"10","11003.2009",11003,2009,124,5,0,1030167,1,1,1,0.624191496
"11","11003.2010",11003,2010,124,5,0,1030167,1,1,1,0.624191496
"12","11003.2011",11003,2011,124,5,0,1030167,3,1,1,0.624191496
"13","11003.2012",11003,2012,124,2,0,1030167,2,1,1,0.677075602
"14","11003.2013",11003,2013,124,3,0,1030167,2,1,1,0.677128618
"15","11003.2014",11003,2014,124,3,0,1030167,1,1,1,0.67662496
"16","11003.2015",11003,2015,124,3,0,1030167,1,1,1,0.67662496
"17","11003.2016",11003,2016,124,3,1,1030167,1,1,1,0.67662496
"18","11003.2017",11003,2017,124,4,0,1030167,2,1,1,0.571837557
"19","11003.2018",11003,2018,124,4,0,1030167,0,1,1,0.523459866
"20","11003.2019",11003,2019,124,4,0,1030167,0,1,1,0.518317252
"21","11004.2010",11004,2010,124,10,51,1000579,0,0,2,0.39084698
"22","11004.2011",11004,2011,124,10,13,1000579,0,0,1,0.390765644
"23","11004.2012",11004,2012,124,10,19,1000579,0,1,1,0.404131873
"24","11004.2013",11004,2013,124,10,43,1000579,0,1,1,0.404402993
"25","11004.2014",11004,2014,124,10,24,1000579,1,0,1,0.404213209
"26","11004.2015",11004,2015,124,10,34,1000579,1,0,1,0.404213209
"27","11004.2018",11004,2018,124,10,36,990935,0,0,2,0.389816723
"28","11004.2019",11004,2019,124,10,43,990935,1,1,1,0.389301594
"29","11005.2000",11005,2000,124,5,4,1090269,0,1,1,0.443553533
"30","11005.2001",11005,2001,124,5,6,1090269,1,0,1,0.443442555
"31","11005.2002",11005,2002,124,5,5,1090269,0,1,1,0.443387065
"32","11005.2003",11005,2003,124,5,6,1090269,2,1,1,0.440862303
"33","11005.2004",11005,2004,124,5,3,1090269,0,1,1,0.436867075
"34","11005.2005",11005,2005,124,5,4,1090269,0,1,1,0.436367672
"35","11005.2006",11005,2006,124,5,0,1090269,1,1,1,0.434924951
"36","11005.2007",11005,2007,124,5,1,1090269,0,1,1,0.434453292
"37","11005.2008",11005,2008,124,5,3,1090269,0,1,1,0.434453292
"38","11005.2009",11005,2009,124,5,5,1090269,0,1,1,0.434286824
"39","11005.2010",11005,2010,124,5,5,1090269,0,1,1,0.434286824
"40","11005.2018",11005,2018,124,5,5,1041171,1,1,2,0.434009378
"41","11005.2019",11005,2019,124,5,6,1041171,0,1,1,0.430263852
"42","11006.2001",11006,2001,124,7,20,980823,1,1,2,0.700664434
"43","11006.2002",11006,2002,124,7,20,980823,0,1,1,0.700193575
"44","11006.2003",11006,2003,124,7,18,980823,0,1,1,0.698467092
"45","11006.2004",11006,2004,124,8,12,980823,0,1,1,0.69626975
"46","11006.2005",11006,2005,124,8,19,980823,0,1,1,0.69626975
"47","11006.2006",11006,2006,124,8,17,980823,1,1,1,0.695511144
"48","11006.2007",11006,2007,124,8,11,980823,0,1,1,0.695380349
"49","11006.2008",11006,2008,124,8,19,980823,0,1,1,0.694987967
"50","11006.2009",11006,2009,124,8,24,980823,0,1,1,0.693287643
"51","11006.2010",11006,2010,124,8,21,980823,0,1,1,0.692973737
"52","11006.2011",11006,2011,124,8,12,980823,0,1,1,0.692869101
"53","11006.2012",11006,2012,124,8,9,980823,0,1,1,0.694726379
"54","11006.2013",11006,2013,124,8,8,980823,0,1,1,0.69425552
"55","11006.2014",11006,2014,124,8,9,980823,0,1,1,0.684367479
"56","11006.2015",11006,2015,124,8,9,980823,0,1,1,0.680129748
"57","11006.2016",11006,2016,124,8,11,980823,0,1,1,0.679580412
"58","11006.2017",11006,2017,124,8,16,980823,0,1,1,0.678141676
"59","11006.2018",11006,2018,124,8,6,980823,0,1,1,0.676807576
"60","11007.2000",11007,2000,124,7,21,1000095,2,1,1,0.572793997
"61","11007.2001",11007,2001,124,7,35,1000095,1,1,1,0.571342499
"62","11007.2002",11007,2002,124,7,25,1000095,2,1,1,0.568384729
"63","11007.2003",11007,2003,124,7,18,1000095,4,1,1,0.567234485
"64","11007.2005",11007,2005,124,7,26,1000095,4,1,1,0.563427726
"65","11007.2007",11007,2007,124,7,36,1000095,3,1,1,0.561483267
"66","11007.2008",11007,2008,124,7,26,1000095,0,1,1,0.559566194
"67","11007.2009",11007,2009,124,7,23,1000095,3,1,1,0.558991072
"68","11007.2010",11007,2010,124,7,15,1000095,1,1,1,0.558936298
"69","11007.2015",11007,2015,124,7,25,981387,3,1,2,0.55841595
"70","11008.2000",11008,2000,124,6,19,990404,0,1,1,0.619468311
"71","11008.2002",11008,2002,124,6,21,990404,0,1,1,0.618310125
"72","11008.2003",11008,2003,124,6,5,1020376,0,1,2,0.618202386
"73","11008.2004",11008,2004,124,6,17,1020376,0,1,1,0.618094648
"74","11008.2005",11008,2005,124,6,18,1020376,0,1,1,0.617717564
"75","11008.2013",11008,2013,124,7,5,981302,0,1,2,0.62181162
"76","11009.2000",11009,2000,124,6,0,1150240,0,1,1,0.693801216
"77","11009.2001",11009,2001,124,6,1,1150240,0,1,1,0.687291209
"78","11009.2002",11009,2002,124,6,0,1150240,0,1,1,0.685035548
"79","11009.2003",11009,2003,124,6,0,1150240,2,1,1,0.683322388
"80","11009.2004",11009,2004,124,6,1,1150240,2,1,1,0.682865545
"81","11009.2005",11009,2005,124,6,0,1150240,2,1,1,0.676840933
"82","11009.2006",11009,2006,124,6,0,1150240,2,1,1,0.674956457
"83","11009.2007",11009,2007,124,7,0,1150240,0,1,1,0.66470605
"84","11009.2008",11009,2008,124,7,0,1150240,1,1,1,0.657196699
"85","11009.2009",11009,2009,124,7,0,1150240,2,1,1,0.654141564
"86","11009.2010",11009,2010,124,7,0,1150240,2,1,1,0.651486166
"87","11009.2011",11009,2011,124,7,0,1150240,2,1,1,0.650915113
"88","11009.2012",11009,2012,124,7,2,1150240,2,1,1,0.678325672
"89","11010.2000",11010,2000,124,6,14,1150240,5,0,1,0.431317506
"90","11010.2001",11010,2001,124,6,51,1150240,2,1,1,0.431264036
"91","11010.2002",11010,2002,124,6,0,1150240,2,1,1,0.430729334
"92","11010.2003",11010,2003,124,6,4,1150240,2,1,1,0.429980751
"93","11010.2004",11010,2004,124,6,11,1150240,0,1,1,0.429419313
"94","11010.2005",11010,2005,124,6,10,1150240,2,1,1,0.428296439
"95","11010.2006",11010,2006,124,6,6,1150240,2,1,1,0.422361245
"96","11010.2007",11010,2007,124,6,16,1150240,2,1,1,0.422013688
"97","11010.2008",11010,2008,124,6,7,1150240,0,1,1,0.420222436
"98","11010.2009",11010,2009,124,6,1,1150240,4,1,1,0.418484654
"99","11010.2011",11010,2011,124,6,9,1150240,2,1,1,0.417949952
"100","11010.2012",11010,2012,124,6,1,1150240,2,1,1,0.423457384
"101","11016.2014",11016,2014,124,10,7,1190910,0,0,2,0.294927304
"102","11016.2015",11016,2015,124,10,8,1190910,0,0,1,0.294927304
"103","11016.2016",11016,2016,124,10,9,1190910,2,0,1,0.294178961
"104","11016.2017",11016,2017,124,10,13,1190910,0,1,1,0.294018602
"105","11016.2018",11016,2018,124,10,10,1190910,2,1,1,0.293965149
"106","11019.2000",11019,2000,124,4,4,1150385,0,1,1,0.701298382
"107","11019.2001",11019,2001,124,4,10,1150385,0,1,1,0.701052476
"108","11019.2002",11019,2002,124,4,13,1150385,0,1,1,0.69689667
"109","11019.2005",11019,2005,124,4,9,1150385,0,1,1,0.6934294
"110","11019.2006",11019,2006,124,4,4,1150385,0,1,1,0.691904785
"111","11019.2008",11019,2008,124,4,7,1150385,0,1,1,0.672502828
"112","11019.2010",11019,2010,124,4,9,1150385,0,1,1,0.672060198
"113","11019.2011",11019,2011,124,4,4,1150385,0,1,1,0.672060198
"114","11019.2015",11019,2015,124,4,15,1080672,1,1,2,0.656445188
"115","11019.2016",11019,2016,124,4,16,1080672,2,1,1,0.64744504
"116","11019.2017",11019,2017,124,4,10,1080672,0,1,1,0.627182413
"117","11019.2018",11019,2018,124,4,9,1080672,1,1,1,0.625731569
"118","11019.2019",11019,2019,124,4,9,1080672,0,1,1,0.625731569
"119","11020.2000",11020,2000,124,6,6,1090715,0,1,2,0.378611317
"120","11020.2001",11020,2001,124,6,15,1090715,1,1,1,0.378483821
"121","11020.2002",11020,2002,124,6,13,1090715,1,1,1,0.378432823
