RouteName,RouteNumber,Ecoregion_L1Code,Ecoregion_L1Name
ST FLORIAN,2001,8,EASTERN TEMPERATE FORESTS
TRADE,2004,8,EASTERN TEMPERATE FORESTS
SWAIM,2007,8,EASTERN TEMPERATE FORESTS
PINE GROVE,2008,8,EASTERN TEMPERATE FORESTS
MILLERVILLE,2010,8,EASTERN TEMPERATE FORESTS
GREENSPORT,2013,8,EASTERN TEMPERATE FORESTS
SMYER LAKE,2014,8,EASTERN TEMPERATE FORESTS
MT OLIVE,2015,8,EASTERN TEMPERATE FORESTS
HOWARD,2016,8,EASTERN TEMPERATE FORESTS
MAYTOWN,2017,8,EASTERN TEMPERATE FORESTS
LIBERTY,2019,8,EASTERN TEMPERATE FORESTS
RIDERWOOD,2020,8,EASTERN TEMPERATE FORESTS
LINDEN,2021,8,EASTERN TEMPERATE FORESTS
HARRELL,2022,8,EASTERN TEMPERATE FORESTS
GREENSBORO,2023,8,EASTERN TEMPERATE FORESTS
SPRAGUE,2024,8,EASTERN TEMPERATE FORESTS
BILLINGSLEY,2025,8,EASTERN TEMPERATE FORESTS
WARRIOR STD,2027,8,EASTERN TEMPERATE FORESTS
LANETT,2028,8,EASTERN TEMPERATE FORESTS
COTTONTON,2029,8,EASTERN TEMPERATE FORESTS
NEWTON,2030,8,EASTERN TEMPERATE FORESTS
GRANGEBURG,2031,8,EASTERN TEMPERATE FORESTS
BRUNDIDGE,2032,8,EASTERN TEMPERATE FORESTS
BRANTLEY,2033,8,EASTERN TEMPERATE FORESTS
SOUTH,2034,8,EASTERN TEMPERATE FORESTS
MCLELLAN,2035,8,EASTERN TEMPERATE FORESTS
BEATRICE,2036,8,EASTERN TEMPERATE FORESTS
CASTLEBERRY,2038,8,EASTERN TEMPERATE FORESTS
MILLRY,2039,8,EASTERN TEMPERATE FORESTS
BLOCTON,2043,8,EASTERN TEMPERATE FORESTS
WHITEHOUSE,2045,8,EASTERN TEMPERATE FORESTS
GUNTERSVILLE,2046,8,EASTERN TEMPERATE FORESTS
JENA,2047,8,EASTERN TEMPERATE FORESTS
EPES,2048,8,EASTERN TEMPERATE FORESTS
WEDGEWORTH,2049,8,EASTERN TEMPERATE FORESTS
WHITEHALL,2050,8,EASTERN TEMPERATE FORESTS
ESCATAWPA,2052,8,EASTERN TEMPERATE FORESTS
GROVE HILL,2053,8,EASTERN TEMPERATE FORESTS
FAIRVIEW,2054,8,EASTERN TEMPERATE FORESTS
ELAMVILLE,2055,8,EASTERN TEMPERATE FORESTS
YOUNGTOWN,2057,8,EASTERN TEMPERATE FORESTS
MENTONE,2058,8,EASTERN TEMPERATE FORESTS
CARROLLTON,2059,8,EASTERN TEMPERATE FORESTS
HOLT,2060,8,EASTERN TEMPERATE FORESTS
ODENVILLE,2061,8,EASTERN TEMPERATE FORESTS
ROCK CHAPEL,2063,8,EASTERN TEMPERATE FORESTS
CALEBEE,2065,8,EASTERN TEMPERATE FORESTS
APPLETON,2066,8,EASTERN TEMPERATE FORESTS
MT. GILEAD,2067,8,EASTERN TEMPERATE FORESTS
MADRID,2068,8,EASTERN TEMPERATE FORESTS
GEORGETOWN,2069,8,EASTERN TEMPERATE FORESTS
BON SECOUR,2070,8,EASTERN TEMPERATE FORESTS
WHEELER DAM,2071,8,EASTERN TEMPERATE FORESTS
ELKMONT,2072,8,EASTERN TEMPERATE FORESTS
