AOU,English_Common_Name,new status,status,status_forest,breeding,status_forest,breeding habitat,status_forest,winter region,remove,notes
6560,Yellow-rumped Warbler,F,F,F,Forest,F,Forest Generalist,F,Widespread,0,
5690,Dark-eyed Junco,F,F,,Forest,F,Forest Generalist,F,Widespread U.S.,0,
6550,Yellow-rumped Warbler,F,F,F,Forest,F,Forest Generalist,F,Widespread,0,
5671,Dark-eyed Junco,F,F,,Forest,F,Forest Generalist,F,Widespread U.S.,0,
4130,Northern Flicker,F,F,,,,Forest Generalist,F,Widespread U.S.,0,
5670,Dark-eyed Junco,F,F,,Forest,F,Forest Generalist,F,Widespread U.S.,0,
5660,Dark-eyed Junco,F,F,,Forest,F,Forest Generalist,F,Widespread U.S.,0,
4120,Northern Flicker,F,F,,,,Forest Generalist,F,Widespread U.S.,0,
4650,Acadian Flycatcher,F,F,F,Forest,F,Eastern Forest,F,Gulf-Caribbean Lowlands,0,
4070,Acorn Woodpecker,F,F,F,Open Woodland,F,Western Forest,F,Resident,0,
4661,Alder Flycatcher,FE,FE,FE,,,Boreal Forest,F,Gulf-Caribbean Lowlands,0,
4340,Allen's Hummingbird,O,O,,Open Woodland,F,Chaparral,,Mexican Highlands,0,
2250,American Avocet,W,W,,,,,,,1,
1900,American Bittern,W,W,,,,,,,1,
1330,American Black Duck,W,W,,,,,,,1,
2210,American Coot,W,W,,,,,,,1,
4880,American Crow,FE,FE,FE,,,Habitat Generalist,,Resident,0,
7010,American Dipper,F,F,,,,Western Forest,F,Resident,0,
5290,American Goldfinch,FE,FE,FE,Open Woodland,F,Forest Generalist,F,Widespread U.S.,0,
3600,American Kestrel,O,O,,,,,,,0,
6970,American Pipit,O,O,,,,,,,0,
6870,American Redstart,F,F,F,Forest,F,Eastern Forest,F,Widespread Neotropical,0,
7610,American Robin,FE,FE,FE,Open Woodland,F,Forest Generalist,F,Widespread U.S.,0,
4010,American Three-toed Woodpecker,F,F,F,,,Boreal Forest,F,Resident,0,
1250,American White Pelican,W,W,,,,,,,1,
