"","Transect","RouteNumber","Year","CountryNum","Richness_ALL"
"1",2001.1997,2001,1997,840,24
"2",2001.1998,2001,1998,840,31
"3",2001.1999,2001,1999,840,24
"4",2001.2,2001,2000,840,22
"5",2001.2001,2001,2001,840,13
"6",2001.2002,2001,2002,840,13
"7",2001.2003,2001,2003,840,12
"8",2001.2004,2001,2004,840,15
"9",2001.2005,2001,2005,840,13
"10",2001.2006,2001,2006,840,25
"11",2001.2007,2001,2007,840,9
"12",2001.2008,2001,2008,840,14
"13",2001.2009,2001,2009,840,11
"14",2001.201,2001,2010,840,20
"15",2001.2011,2001,2011,840,16
"16",2001.2012,2001,2012,840,10
"17",2001.2013,2001,2013,840,22
"18",2001.2014,2001,2014,840,12
"19",2001.2015,2001,2015,840,17
"20",2001.2016,2001,2016,840,6
"21",2001.2017,2001,2017,840,11
"22",2001.2018,2001,2018,840,13
"23",2001.2019,2001,2019,840,13
"24",2004.1997,2004,1997,840,5
"25",2004.1998,2004,1998,840,10
"26",2004.1999,2004,1999,840,15
"27",2004.2001,2004,2001,840,4
"28",2004.2002,2004,2002,840,4
"29",2004.2003,2004,2003,840,10
"30",2004.2004,2004,2004,840,8
"31",2004.2005,2004,2005,840,10
"32",2004.201,2004,2010,840,11
"33",2004.2011,2004,2011,840,16
"34",2004.2012,2004,2012,840,11
"35",2004.2013,2004,2013,840,18
"36",2004.2014,2004,2014,840,9
"37",2004.2015,2004,2015,840,9
"38",2004.2016,2004,2016,840,5
"39",2004.2017,2004,2017,840,4
"40",2004.2018,2004,2018,840,4
"41",2004.2019,2004,2019,840,6
"42",2006.1997,2006,1997,840,6
"43",2006.1998,2006,1998,840,4
"44",2006.1999,2006,1999,840,4
"45",2006.2,2006,2000,840,8
"46",2006.2001,2006,2001,840,2
"47",2006.2002,2006,2002,840,6
"48",2006.2003,2006,2003,840,3
"49",2006.2004,2006,2004,840,5
"50",2006.2005,2006,2005,840,6
"51",2006.2006,2006,2006,840,5
"52",2006.2007,2006,2007,840,4
"53",2006.2008,2006,2008,840,4
"54",2006.2009,2006,2009,840,6
"55",2006.201,2006,2010,840,14
"56",2007.1997,2007,1997,840,23
"57",2007.1998,2007,1998,840,12
"58",2007.1999,2007,1999,840,13
"59",2007.2,2007,2000,840,15
"60",2007.2001,2007,2001,840,11
"61",2007.2002,2007,2002,840,16
"62",2007.2003,2007,2003,840,12
"63",2007.2004,2007,2004,840,16
"64",2007.2006,2007,2006,840,16
"65",2007.2007,2007,2007,840,11
"66",2007.2008,2007,2008,840,16
"67",2007.2009,2007,2009,840,11
"68",2007.201,2007,2010,840,7
"69",2007.2011,2007,2011,840,8
"70",2007.2012,2007,2012,840,14
"71",2007.2013,2007,2013,840,7
"72",2007.2014,2007,2014,840,19
"73",2007.2015,2007,2015,840,19
"74",2007.2016,2007,2016,840,15
"75",2007.2017,2007,2017,840,20
"76",2007.2018,2007,2018,840,14
"77",2007.2019,2007,2019,840,22
"78",2008.1997,2008,1997,840,15
"79",2008.1999,2008,1999,840,12
"80",2008.2,2008,2000,840,8
"81",2008.2001,2008,2001,840,8
"82",2008.2002,2008,2002,840,11
"83",2008.2003,2008,2003,840,8
"84",2008.2004,2008,2004,840,7
"85",2008.2006,2008,2006,840,10
"86",2008.2007,2008,2007,840,19
"87",2008.2008,2008,2008,840,13
"88",2008.2009,2008,2009,840,12
"89",2008.2011,2008,2011,840,15
"90",2008.2012,2008,2012,840,15
"91",2008.2013,2008,2013,840,15
"92",2008.2014,2008,2014,840,19
"93",2008.2015,2008,2015,840,12
"94",2008.2016,2008,2016,840,6
"95",2008.2017,2008,2017,840,11
"96",2008.2018,2008,2018,840,11
"97",2008.2019,2008,2019,840,8
"98",2009.1997,2009,1997,840,16
"99",2009.1998,2009,1998,840,22
"100",2010.1997,2010,1997,840,8
"101",2010.1998,2010,1998,840,9
"102",2010.1999,2010,1999,840,7
"103",2010.2,2010,2000,840,6
"104",2010.2001,2010,2001,840,10
"105",2010.2002,2010,2002,840,16
"106",2010.2003,2010,2003,840,6
"107",2010.2004,2010,2004,840,8
"108",2010.2005,2010,2005,840,13
"109",2010.2006,2010,2006,840,12
"110",2010.2007,2010,2007,840,13
"111",2010.2008,2010,2008,840,9
"112",2010.2009,2010,2009,840,10
"113",2010.201,2010,2010,840,14
"114",2010.2011,2010,2011,840,14
"115",2010.2012,2010,2012,840,11
"116",2010.2013,2010,2013,840,4
"117",2010.2014,2010,2014,840,5
"118",2010.2015,2010,2015,840,8
"119",2010.2016,2010,2016,840,12
"120",2010.2017,2010,2017,840,9
"121",2010.2018,2010,2018,840,10
"122",2010.2019,2010,2019,840,7
"123",2012.1998,2012,1998,840,13
"124",2012.2,2012,2000,840,18
"125",2012.2001,2012,2001,840,12
"126",2012.2003,2012,2003,840,4
"127",2012.2005,2012,2005,840,9
"128",2012.2009,2012,2009,840,12
"129",2012.201,2012,2010,840,12
"130",2012.2011,2012,2011,840,13
"131",2012.2012,2012,2012,840,5
"132",2012.2013,2012,2013,840,15
"133",2012.2014,2012,2014,840,8
"134",2012.2015,2012,2015,840,8
"135",2012.2016,2012,2016,840,4
"136",2012.2017,2012,2017,840,16
"137",2012.2018,2012,2018,840,7
"138",2012.2019,2012,2019,840,7
"139",2013.1997,2013,1997,840,14
"140",2013.1998,2013,1998,840,16
"141",2013.1999,2013,1999,840,16
"142",2013.2,2013,2000,840,15
"143",2013.2001,2013,2001,840,13
"144",2013.2002,2013,2002,840,6
"145",2013.2003,2013,2003,840,10
"146",2013.2005,2013,2005,840,15
"147",2013.2011,2013,2011,840,2
"148",2013.2012,2013,2012,840,4
"149",2013.2016,2013,2016,840,12
"150",2013.2017,2013,2017,840,10
"151",2013.2018,2013,2018,840,9
"152",2013.2019,2013,2019,840,14
"153",2014.1997,2014,1997,840,0
"154",2014.1998,2014,1998,840,2
"155",2014.1999,2014,1999,840,6
"156",2014.2,2014,2000,840,2
"157",2014.2001,2014,2001,840,3
"158",2014.2002,2014,2002,840,2
"159",2014.2003,2014,2003,840,5
"160",2014.2004,2014,2004,840,6
"161",2014.2005,2014,2005,840,8
"162",2014.2006,2014,2006,840,12
"163",2014.2007,2014,2007,840,7
"164",2014.2008,2014,2008,840,7
"165",2014.2009,2014,2009,840,4
"166",2014.201,2014,2010,840,15
"167",2014.2011,2014,2011,840,4
"168",2014.2012,2014,2012,840,12
"169",2014.2013,2014,2013,840,8
"170",2014.2014,2014,2014,840,9
"171",2014.2015,2014,2015,840,5
"172",2014.2016,2014,2016,840,5
"173",2014.2017,2014,2017,840,3
"174",2014.2018,2014,2018,840,2
"175",2014.2019,2014,2019,840,0
"176",2015.1997,2015,1997,840,9
"177",2015.1998,2015,1998,840,17
"178",2015.1999,2015,1999,840,11
"179",2015.2,2015,2000,840,14
"180",2015.2001,2015,2001,840,10
"181",2015.2002,2015,2002,840,7
"182",2015.2003,2015,2003,840,10
"183",2015.2005,2015,2005,840,13
"184",2015.2012,2015,2012,840,13
"185",2015.2013,2015,2013,840,20
"186",2015.2014,2015,2014,840,11
"187",2015.2015,2015,2015,840,9
"188",2015.2017,2015,2017,840,9
"189",2015.2018,2015,2018,840,3
"190",2015.2019,2015,2019,840,2
"191",2016.2001,2016,2001,840,15
"192",2016.2003,2016,2003,840,12
"193",2016.2004,2016,2004,840,15
"194",2016.2005,2016,2005,840,17
"195",2016.2006,2016,2006,840,12
"196",2016.2007,2016,2007,840,15
"197",2016.2008,2016,2008,840,10
"198",2016.2009,2016,2009,840,14
"199",2016.201,2016,2010,840,12
"200",2016.2011,2016,2011,840,9
"201",2016.2012,2016,2012,840,9
"202",2016.2013,2016,2013,840,12
"203",2016.2014,2016,2014,840,12
"204",2016.2015,2016,2015,840,11
"205",2016.2016,2016,2016,840,10
"206",2016.2017,2016,2017,840,13
"207",2016.2018,2016,2018,840,11
"208",2016.2019,2016,2019,840,10
"209",2017.1997,2017,1997,840,10
"210",2017.1998,2017,1998,840,10
"211",2017.1999,2017,1999,840,3
"212",2017.2,2017,2000,840,7
"213",2017.2001,2017,2001,840,4
"214",2017.2002,2017,2002,840,15
"215",2017.2003,2017,2003,840,3
"216",2017.2004,2017,2004,840,4
"217",2017.2005,2017,2005,840,3
"218",2017.2006,2017,2006,840,8
"219",2017.2007,2017,2007,840,6
"220",2017.2008,2017,2008,840,3
"221",2017.2009,2017,2009,840,3
"222",2017.201,2017,2010,840,4
"223",2017.2012,2017,2012,840,4
"224",2017.2013,2017,2013,840,0
"225",2017.2015,2017,2015,840,1
"226",2017.2016,2017,2016,840,2
"227",2017.2017,2017,2017,840,2
"228",2017.2018,2017,2018,840,2
"229",2017.2019,2017,2019,840,2
"230",2019.1997,2019,1997,840,12
"231",2019.1998,2019,1998,840,12
"232",2019.1999,2019,1999,840,19
"233",2019.2,2019,2000,840,10
"234",2019.2001,2019,2001,840,15
"235",2019.2002,2019,2002,840,10
"236",2019.2003,2019,2003,840,9
"237",2019.2004,2019,2004,840,8
"238",2019.2005,2019,2005,840,8
"239",2019.2006,2019,2006,840,7
"240",2019.2007,2019,2007,840,8
"241",2019.2008,2019,2008,840,7
"242",2019.2009,2019,2009,840,9
"243",2019.201,2019,2010,840,6
"244",2019.2011,2019,2011,840,9
"245",2019.2013,2019,2013,840,8
"246",2019.2014,2019,2014,840,6
"247",2019.2015,2019,2015,840,11
"248",2019.2016,2019,2016,840,7
"249",2019.2017,2019,2017,840,7
"250",2019.2018,2019,2018,840,6
"251",2019.2019,2019,2019,840,4
"252",2020.1997,2020,1997,840,15
"253",2020.1998,2020,1998,840,14
"254",2020.1999,2020,1999,840,14
"255",2020.2,2020,2000,840,19
"256",2020.2001,2020,2001,840,15
"257",2020.2002,2020,2002,840,14
