"","Transect","RouteNumber","Year","CountryNum","Richness"
"1","11001.1997",11001,1997,124,38
"2","11001.1998",11001,1998,124,51
"3","11001.1999",11001,1999,124,51
"4","11001.2000",11001,2000,124,42
"5","11001.2008",11001,2008,124,50
"6","11001.2009",11001,2009,124,32
"7","11001.2010",11001,2010,124,46
"8","11001.2012",11001,2012,124,32
"9","11001.2013",11001,2013,124,38
"10","11001.2014",11001,2014,124,30
"11","11002.1997",11002,1997,124,48
"12","11002.1998",11002,1998,124,43
"13","11002.1999",11002,1999,124,44
"14","11002.2000",11002,2000,124,45
"15","11003.1997",11003,1997,124,61
"16","11003.1998",11003,1998,124,72
"17","11003.1999",11003,1999,124,63
"18","11003.2000",11003,2000,124,64
"19","11003.2001",11003,2001,124,74
"20","11003.2002",11003,2002,124,56
"21","11003.2003",11003,2003,124,60
"22","11003.2004",11003,2004,124,69
"23","11003.2005",11003,2005,124,69
"24","11003.2006",11003,2006,124,69
"25","11003.2007",11003,2007,124,67
"26","11003.2008",11003,2008,124,67
"27","11003.2009",11003,2009,124,66
"28","11003.2010",11003,2010,124,67
"29","11003.2011",11003,2011,124,51
"30","11003.2012",11003,2012,124,42
"31","11003.2013",11003,2013,124,65
"32","11003.2014",11003,2014,124,56
"33","11003.2015",11003,2015,124,69
"34","11003.2016",11003,2016,124,70
"35","11003.2017",11003,2017,124,59
"36","11003.2018",11003,2018,124,58
"37","11003.2019",11003,2019,124,57
"38","11004.2010",11004,2010,124,28
"39","11004.2011",11004,2011,124,42
"40","11004.2012",11004,2012,124,36
"41","11004.2013",11004,2013,124,43
"42","11004.2014",11004,2014,124,38
"43","11004.2015",11004,2015,124,37
"44","11004.2018",11004,2018,124,43
"45","11004.2019",11004,2019,124,33
"46","11005.1998",11005,1998,124,47
"47","11005.1999",11005,1999,124,36
"48","11005.2000",11005,2000,124,42
"49","11005.2001",11005,2001,124,50
"50","11005.2002",11005,2002,124,34
"51","11005.2003",11005,2003,124,44
