English_Common_Name,Migratory,breeding.region,trend,distance.km,Avg.HF,Weeks,all.weeks
Acadian Flycatcher,Y,east,-0.26,3180,10.1,52,1
American Redstart,Y,both,-0.28,3986,8.6,52,1
Ash-throated Flycatcher,Y,west,1.1,546,6.86,52,1
Baltimore Oriole,Y,east,-1.49,3414,10.86,52,1
Bank Swallow,Y,both,-5.33,5846,9.49,52,1
Barn Swallow,Y,both,-1.19,3895,8.98,52,1
Bay-breasted Warbler,Y,east,-0.25,5471,7.7,52,1
Bell's Vireo,Y,both,0.63,1229,7.73,52,1
Black Swift,Y,west,-6.6,3813,10.54,33,0
Black-and-white Warbler,Y,east,-0.86,3259,8.83,52,1
Black-billed Cuckoo,Y,east,-1.62,5675,14.09,30,0
Blackburnian Warbler,Y,east,0.35,5401,8.14,52,1
Black-chinned Hummingbird,Y,west,1.29,666,10.1,52,1
Black-headed Grosbeak,Y,west,0.72,1708,7.26,52,1
Blackpoll Warbler,Y,east,-4.85,5561,8.18,52,1
Black-throated Blue Warbler,Y,east,1.95,3227,10.79,52,1
Black-throated Gray Warbler,Y,west,-1.26,1513,6.56,52,1
Black-throated Green Warbler,Y,east,0.35,3899,8.61,52,1
Blue Grosbeak,Y,east,0.81,1608,9.85,52,1
Blue-gray Gnatcatcher,Y,both,0.38,1072,9.62,52,1
Blue-headed Vireo,Y,east,2.86,3008,9.09,52,1
Blue-winged Warbler,Y,east,-0.7,2582,10.97,52,1
Bobolink,Y,east,-2.06,7821,13.41,36,0
Broad-tailed Hummingbird,Y,west,-1.45,937,8.94,52,1
Bullock's Oriole,Y,west,-0.66,1537,8.2,52,1
Calliope Hummingbird,Y,west,-0.23,1897,10.3,50,0
Canada Warbler,Y,east,-2.05,5711,8.08,52,1
Cape May Warbler,Y,east,-2.51,3596,10.98,52,1
Cassin's Kingbird,Y,west,0.19,489,8.18,52,1
Cassin's Vireo,Y,west,1.08,2760,5.71,52,1
Cerulean Warbler,Y,east,-2.63,2346,9.82,52,1
Chestnut-sided Warbler,Y,east,-1.15,4620,8.64,52,1
Chimney Swift,Y,east,-2.5,4857,14.09,41,0
Cliff Swallow,Y,both,0.72,4005,9.36,51,0
Common Nighthawk,Y,both,-1.93,1010,12.1,36,0
Common Yellowthroat,Y,both,-1.01,2203,9.7,52,1
Connecticut Warbler,Y,east,-1.93,6589,11.89,27,0
Cordilleran Flycatcher,Y,west,-0.3,2055,7.66,52,1
Dickcissel,Y,east,-0.36,1952,14.4,52,1
Dusky Flycatcher,Y,west,-0.6,2707,5.84,52,1
Eastern Kingbird,Y,east,-1.28,5209,7.27,52,1
Eastern Wood-Pewee,Y,east,-1.4,4565,8.56,51,0
Golden-winged Warbler,Y,east,-2.28,4524,9.91,52,1
Grace's Warbler,Y,west,-1.5,757,6.75,52,1
Gray Catbird,Y,east,-0.01,2026,10.74,52,1
Gray Vireo,Y,west,2.1,801,5.15,46,0
Gray-cheeked Thrush,Y,east,-2.65,6004,11.47,47,0
Great Crested Flycatcher,Y,east,-0.03,1974,11.17,52,1
Hammond's Flycatcher,Y,west,0.75,3304,5.39,52,1
