"","Transect","X.3","X.2","RouteNumber","X.1","X","ref","Year","CountryNum","NumStops","Richness","ObsN","StartWind","RunType","FirstObs","Forest.cover","RouteName","Ecoregion_L1Code","Ecoregion_L1Name","space.time","Elevation","Richness_ALL"
"1","2007.2019",1,1,2007,1,1,82015,2019,840,5,14,1190801,0,1,1,0.605789763,"SWAIM",8,"EASTERN TEMPERATE FORESTS",2,181,11
"2","2010.2019",2,2,2010,2,2,2021,2019,840,7,5,1150772,1,1,1,0.481098475,"MILLERVILLE",8,"EASTERN TEMPERATE FORESTS",2,180.5,4
"3","2013.2019",3,3,2013,3,3,82015,2019,840,8,11,1070595,1,1,1,0.51032162,"GREENSPORT",8,"EASTERN TEMPERATE FORESTS",2,179,6
"4","2014.2019",4,4,2014,4,4,2021,2019,840,5,0,1091346,1,1,2,0.628318863,"SMYER LAKE",8,"EASTERN TEMPERATE FORESTS",2,179.5,0
"5","2015.2019",5,5,2015,5,5,82015,2019,840,5,2,1020556,0,1,1,0.679392069,"MT OLIVE",8,"EASTERN TEMPERATE FORESTS",2,184.3333333,2
"6","2015.2019",6,6,2015,6,6,2021,2019,840,5,2,1020556,0,1,1,0.679392069,"MT OLIVE",8,"EASTERN TEMPERATE FORESTS",2,184.3333333,2
"7","2016.2019",7,7,2016,7,7,82015,2019,840,3,3,1080658,0,1,1,0.568419713,"HOWARD",8,"EASTERN TEMPERATE FORESTS",2,179,3
"8","2016.2019",8,8,2016,8,8,2021,2019,840,3,3,1080658,0,1,1,0.568419713,"HOWARD",8,"EASTERN TEMPERATE FORESTS",2,179,3
"9","2017.2019",9,9,2017,9,9,2021,2019,840,4,1,1050007,0,1,1,0.726739971,"MAYTOWN",8,"EASTERN TEMPERATE FORESTS",2,183,2
"10","2017.2019",10,10,2017,10,10,82015,2019,840,4,1,1050007,0,1,1,0.726739971,"MAYTOWN",8,"EASTERN TEMPERATE FORESTS",2,183,2
"11","2019.2019",11,11,2019,11,11,82015,2019,840,3,2,1080658,1,1,1,0.625378568,"LIBERTY",8,"EASTERN TEMPERATE FORESTS",2,181,2
"12","2019.2019",12,12,2019,12,12,2021,2019,840,3,2,1080658,1,1,1,0.625378568,"LIBERTY",8,"EASTERN TEMPERATE FORESTS",2,181,2
"13","2020.2019",13,13,2020,13,13,2038,2019,840,8,11,981466,0,1,2,0.536423841,"RIDERWOOD",8,"EASTERN TEMPERATE FORESTS",2,177,6
"14","2020.2019",14,14,2020,14,14,2066,2019,840,8,11,981466,0,1,2,0.536423841,"RIDERWOOD",8,"EASTERN TEMPERATE FORESTS",2,177,6
"15","2020.2019",15,15,2020,15,15,2021,2019,840,8,11,981466,0,1,2,0.536423841,"RIDERWOOD",8,"EASTERN TEMPERATE FORESTS",2,177,6
"16","2021.2000",16,16,2021,259,1,2021,2000,840,2,1,1160079,1,1,1,0.77384222,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"17","2021.2001",17,17,2021,260,2,2021,2001,840,3,2,1160079,1,1,1,0.685355305,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"18","2021.2002",18,18,2021,261,3,2021,2002,840,4,5,1160079,2,1,1,0.614641538,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,4
"19","2021.2003",19,19,2021,262,4,2021,2003,840,4,8,1160079,0,1,1,0.596963096,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,4
"20","2021.2004",20,20,2021,263,5,2021,2004,840,4,7,1160079,0,1,1,0.581841715,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,4
"21","2021.2004",21,21,2021,264,6,2021,2004,840,4,5,1160079,0,1,1,0.557596995,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,4
"22","2021.2006",22,22,2021,265,7,2021,2006,840,4,5,1160079,0,1,1,0.545537772,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"23","2021.2007",23,23,2021,266,8,2021,2007,840,5,6,1160079,1,1,1,0.491618524,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,6
"24","2021.2008",24,24,2021,267,9,2021,2008,840,5,0,1020446,0,1,1,0.488966758,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,1
"25","2021.2009",25,25,2021,268,10,2021,2009,840,6,7,1020446,0,1,1,0.468573413,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,3
"26","2021.2010",26,26,2021,269,11,2021,2010,840,6,2,1020446,0,1,1,0.417621618,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"27","2021.2011",27,27,2021,270,12,2021,2011,840,6,5,1020446,0,1,1,0.416800833,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,3
"28","2021.2012",28,28,2021,271,13,2021,2012,840,4,1,1020446,0,1,1,0.537771885,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"29","2021.2013",29,29,2021,272,14,2021,2013,840,5,3,1020446,1,1,1,0.5465164,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"30","2021.2014",30,30,2021,273,15,2021,2014,840,5,2,1020446,1,1,1,0.530163841,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"31","2021.2016",31,31,2021,274,16,2021,2016,840,5,3,1160379,0,1,1,0.524955015,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,3
"32","2021.2017",32,32,2021,275,17,2021,2017,840,5,6,1160379,2,1,1,0.514600499,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"33","2021.2018",33,33,2021,276,18,2021,2018,840,5,4,1160379,0,1,1,0.513779714,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
"34","2021.2019",34,34,2021,277,19,2021,2019,840,5,5,1160379,1,1,1,0.501404805,"LINDEN",8,"EASTERN TEMPERATE FORESTS",1,179.6666667,2
