"","Transect","X.4","X.3","X.2","X.1","ref","TA_avg","space.time","X","RouteNumber","Year","CountryNum","NumStops","TA","ObsN","StartWind","RunType","FirstObs","Forest.cover","TA_ALL"
"1","11101.2019",1,1,1,1,11402,0,2,413,11101,2019,124,4,3,1160088,0,1,1,0.598377164,14
"2","11313.2019",2,2,2,2,11402,0,2,751,11313,2019,124,2,0,1030644,0,1,1,0.508678308,0
"3","11323.2019",3,3,3,3,11402,0.142857142857143,2,755,11323,2019,124,7,7,1080681,0,1,1,0.639259997,8
"4","11402.2000",4,4,4,4,11402,0.5,1,782,11402,2000,124,4,9,970128,1,1,1,0.713680933,19
"5","11402.2001",5,5,5,5,11402,0.4,1,783,11402,2001,124,4,7,970128,3,1,1,0.700680086,9
"6","11402.2002",6,6,6,6,11402,0.4,1,784,11402,2002,124,4,11,970128,2,1,1,0.68172507,22
"7","11402.2003",7,7,7,7,11402,1.4,1,785,11402,2003,124,4,16,970128,1,1,1,0.666675771,21
"8","11402.2004",8,8,8,8,11402,0,1,786,11402,2004,124,4,7,970128,0,1,1,0.658400022,12
"9","11402.2005",9,9,9,9,11402,1.4,1,787,11402,2005,124,4,14,970128,0,1,1,0.589244258,22
"10","11402.2006",10,10,10,10,11402,0.2,1,788,11402,2006,124,4,5,970128,1,1,1,0.536885806,12
"11","11402.2007",11,11,11,11,11402,0.8,1,789,11402,2007,124,4,11,970128,1,1,1,0.533253216,13
"12","11402.2008",12,12,12,12,11402,0.4,1,790,11402,2008,124,5,13,970128,3,1,1,0.527462923,19
"13","11402.2009",13,13,13,13,11402,1.83333333333333,1,791,11402,2009,124,6,18,970128,0,1,1,0.498757272,29
"14","11402.2010",14,14,14,14,11402,0.333333333333333,1,792,11402,2010,124,6,2,970128,1,0,1,0.498648021,5
"15","11402.2011",15,15,15,15,11402,1,1,793,11402,2011,124,6,10,970128,0,1,1,0.482315025,17
"16","11402.2012",16,16,16,16,11402,0.2,1,794,11402,2012,124,5,7,970128,2,1,1,0.514735203,11
"17","11402.2013",17,17,17,17,11402,0.4,1,795,11402,2013,124,5,9,970128,0,1,1,0.51894136,13
"18","11402.2014",18,18,18,18,11402,1.6,1,796,11402,2014,124,5,13,970128,0,1,1,0.518668233,21
"19","11402.2015",19,19,19,19,11402,1,1,797,11402,2015,124,5,10,970128,0,1,1,0.517056783,13
"20","11402.2016",20,20,20,20,11402,0.333333333333333,1,798,11402,2016,124,6,11,970128,0,1,1,0.493103542,21
"21","11402.2017",21,21,21,21,11402,1.16666666666667,1,799,11402,2017,124,6,12,970128,1,1,1,0.490973152,18
"22","11402.2018",22,22,22,22,11402,0.333333333333333,1,800,11402,2018,124,6,9,970128,4,0,1,0.490317647,16
"23","11402.2019",23,23,23,23,11402,0.666666666666667,1,801,11402,2019,124,6,10,970128,0,1,1,0.489525578,15
"24","11413.2019",24,24,24,24,11402,0.142857142857143,2,871,11413,2019,124,7,3,980759,3,1,1,0.475352971,4
"25","11426.2019",25,25,25,25,11402,0.25,2,928,11426,2019,124,4,3,1091184,1,1,1,0.507229667,6
"26","11510.2019",26,26,26,26,11402,0,2,933,11510,2019,124,2,2,1020548,0,1,1,0.753677294,7
"27","11613.2019",27,27,27,27,11402,1.66666666666667,2,996,11613,2019,124,3,5,981359,2,1,1,0.651305726,6
"28","11614.2019",28,28,28,28,11402,0.2,2,1010,11614,2019,124,5,1,1091008,2,1,1,0.481042224,4
"29","2007.2019",29,29,29,29,27031,2.8,2,5060,2007,2019,840,5,22,1190801,0,1,1,0.605789763,32
"30","2007.2019",30,30,30,30,82015,2.8,2,5060,2007,2019,840,5,22,1190801,0,1,1,0.605789763,32
"31","2008.2019",31,31,31,31,82015,1.5,2,5078,2008,2019,840,8,16,1120710,0,1,1,0.434099697,18
"32","2008.2019",32,32,32,32,27031,1.5,2,5078,2008,2019,840,8,16,1120710,0,1,1,0.434099697,18
"33","2010.2019",33,33,33,33,27031,0.285714285714286,2,5098,2010,2019,840,7,5,1150772,1,1,1,0.481098475,8
"34","2010.2019",34,34,34,34,82015,0.285714285714286,2,5098,2010,2019,840,7,5,1150772,1,1,1,0.481098475,8
"35","2012.2019",35,36,36,36,2036,0.333333333333333,2,5113,2012,2019,840,4,3,1040614,2,1,1,0.695823405,8
"36","2012.2019",36,37,37,37,27050,0.333333333333333,2,5113,2012,2019,840,4,3,1040614,2,1,1,0.695823405,8
"37","2013.2019",37,38,38,38,2038,1.25,2,5124,2013,2019,840,8,14,1070595,1,1,1,0.51032162,20
"38","2013.2019",38,39,39,39,82015,1.25,2,5124,2013,2019,840,8,14,1070595,1,1,1,0.51032162,20
"39","2014.2019",39,41,41,41,2066,0,2,5144,2014,2019,840,5,0,1091346,1,1,2,0.628318863,0
"40","2014.2019",40,42,42,42,2038,0,2,5144,2014,2019,840,5,0,1091346,1,1,2,0.628318863,0
"41","2015.2019",41,44,44,44,2036,1,2,5156,2015,2019,840,5,6,1020556,0,1,1,0.679392069,6
"42","2015.2019",42,46,46,46,2021,1,2,5156,2015,2019,840,5,6,1020556,0,1,1,0.679392069,6
"43","2016.2019",43,47,47,47,82015,0.666666666666667,2,5174,2016,2019,840,3,4,1080658,0,1,1,0.568419713,16
"44","2016.2019",44,48,48,48,2066,0.666666666666667,2,5174,2016,2019,840,3,4,1080658,0,1,1,0.568419713,16
"45","2017.2019",45,50,50,50,2036,0.25,2,5192,2017,2019,840,4,1,1050007,0,1,1,0.726739971,2
"46","2017.2019",46,52,52,52,2038,0.25,2,5192,2017,2019,840,4,1,1050007,0,1,1,0.726739971,2
"47","2019.2019",47,55,55,55,2036,0.666666666666667,2,5211,2019,2019,840,3,2,1080658,1,1,1,0.625378568,5
"48","2019.2019",48,56,56,56,2038,0.666666666666667,2,5211,2019,2019,840,3,2,1080658,1,1,1,0.625378568,5
"49","2020.2019",49,57,57,57,2021,3.125,2,5229,2020,2019,840,8,25,981466,0,1,2,0.536423841,30
"50","2020.2019",50,58,58,58,2038,3.125,2,5229,2020,2019,840,8,25,981466,0,1,2,0.536423841,30
"51","2021.2000",51,60,60,60,2021,0.666666666666667,1,5230,2021,2000,840,2,1,1160079,1,1,1,0.77384222,14
"52","2021.2001",52,61,61,61,2021,1.25,1,5231,2021,2001,840,3,3,1160079,1,1,1,0.685355305,20
"53","2021.2002",53,62,62,62,2021,1.6,1,5232,2021,2002,840,4,8,1160079,2,1,1,0.614641538,16
"54","2021.2003",54,63,63,63,2021,1.6,1,5233,2021,2003,840,4,10,1160079,0,1,1,0.596963096,16
"55","2021.2004",55,64,64,64,2021,2,1,5234,2021,2004,840,4,11,1160079,0,1,1,0.581841715,19
"56","2021.2005",56,65,65,65,2021,1.6,1,5235,2021,2005,840,4,7,1160079,0,1,1,0.557596995,20
"57","2021.2006",57,66,66,66,2021,1.2,1,5236,2021,2006,840,4,7,1160079,0,1,1,0.545537772,14
"58","2021.2007",58,67,67,67,2021,1.33333333333333,1,5237,2021,2007,840,5,10,1160079,1,1,1,0.491618524,17
"59","2021.2008",59,68,68,68,2021,0,1,5238,2021,2008,840,5,0,1020446,0,1,1,0.488966758,2
"60","2021.2009",60,69,69,69,2021,1.33333333333333,1,5239,2021,2009,840,6,11,1020446,0,1,1,0.468573413,15
"61","2021.2010",61,70,70,70,2021,0.333333333333333,1,5240,2021,2010,840,6,2,1020446,0,1,1,0.417621618,4
"62","2021.2011",62,71,71,71,2021,0.833333333333333,1,5241,2021,2011,840,6,7,1020446,0,1,1,0.416800833,12
"63","2021.2012",63,72,72,72,2021,0.25,1,5242,2021,2012,840,4,1,1020446,0,1,1,0.537771885,9
"64","2021.2013",64,73,73,73,2021,0.4,1,5243,2021,2013,840,5,3,1020446,1,1,1,0.5465164,7
