"","Transect","RouteNumber","Year","CountryNum","Richness_ALL"
"1",2001.1997,2001,1997,840,12
"2",2001.1998,2001,1998,840,11
"3",2001.1999,2001,1999,840,13
"4",2001.2,2001,2000,840,13
"5",2001.2001,2001,2001,840,16
"6",2001.2002,2001,2002,840,15
"7",2001.2003,2001,2003,840,9
"8",2001.2004,2001,2004,840,10
"9",2001.2005,2001,2005,840,15
"10",2001.2006,2001,2006,840,9
"11",2001.2007,2001,2007,840,12
"12",2001.2008,2001,2008,840,12
"13",2001.2009,2001,2009,840,11
"14",2001.201,2001,2010,840,10
"15",2001.2011,2001,2011,840,15
"16",2001.2012,2001,2012,840,13
"17",2001.2013,2001,2013,840,13
"18",2001.2014,2001,2014,840,14
"19",2001.2015,2001,2015,840,16
"20",2001.2016,2001,2016,840,10
"21",2001.2017,2001,2017,840,9
"22",2001.2018,2001,2018,840,10
"23",2001.2019,2001,2019,840,10
"24",2004.1997,2004,1997,840,7
"25",2004.1998,2004,1998,840,14
"26",2004.1999,2004,1999,840,19
"27",2004.2001,2004,2001,840,11
"28",2004.2002,2004,2002,840,16
"29",2004.2003,2004,2003,840,12
"30",2004.2004,2004,2004,840,18
"31",2004.2005,2004,2005,840,16
"32",2004.201,2004,2010,840,17
"33",2004.2011,2004,2011,840,21
"34",2004.2012,2004,2012,840,14
"35",2004.2013,2004,2013,840,11
"36",2004.2014,2004,2014,840,11
"37",2004.2015,2004,2015,840,12
"38",2004.2016,2004,2016,840,16
"39",2004.2017,2004,2017,840,9
"40",2004.2018,2004,2018,840,14
"41",2004.2019,2004,2019,840,10
"42",2006.1997,2006,1997,840,7
"43",2006.1998,2006,1998,840,6
"44",2006.1999,2006,1999,840,6
"45",2006.2,2006,2000,840,8
"46",2006.2001,2006,2001,840,9
"47",2006.2002,2006,2002,840,5
"48",2006.2003,2006,2003,840,6
"49",2006.2004,2006,2004,840,9
"50",2006.2005,2006,2005,840,9
"51",2006.2006,2006,2006,840,10
"52",2006.2007,2006,2007,840,6
"53",2006.2008,2006,2008,840,7
"54",2006.2009,2006,2009,840,6
"55",2006.201,2006,2010,840,19
"56",2007.1997,2007,1997,840,10
"57",2007.1998,2007,1998,840,12
"58",2007.1999,2007,1999,840,10
"59",2007.2,2007,2000,840,11
"60",2007.2001,2007,2001,840,10
"61",2007.2002,2007,2002,840,12
"62",2007.2003,2007,2003,840,10
"63",2007.2004,2007,2004,840,12
"64",2007.2006,2007,2006,840,13
"65",2007.2007,2007,2007,840,12
"66",2007.2008,2007,2008,840,15
"67",2007.2009,2007,2009,840,14
"68",2007.201,2007,2010,840,17
"69",2007.2011,2007,2011,840,19
"70",2007.2012,2007,2012,840,21
"71",2007.2013,2007,2013,840,17
"72",2007.2014,2007,2014,840,19
"73",2007.2015,2007,2015,840,19
"74",2007.2016,2007,2016,840,15
"75",2007.2017,2007,2017,840,18
"76",2007.2018,2007,2018,840,17
"77",2007.2019,2007,2019,840,19
"78",2008.1997,2008,1997,840,4
"79",2008.1999,2008,1999,840,9
"80",2008.2,2008,2000,840,11
"81",2008.2001,2008,2001,840,14
"82",2008.2002,2008,2002,840,7
"83",2008.2003,2008,2003,840,8
"84",2008.2004,2008,2004,840,14
"85",2008.2006,2008,2006,840,14
"86",2008.2007,2008,2007,840,14
"87",2008.2008,2008,2008,840,12
"88",2008.2009,2008,2009,840,15
"89",2008.2011,2008,2011,840,16
"90",2008.2012,2008,2012,840,15
"91",2008.2013,2008,2013,840,17
"92",2008.2014,2008,2014,840,16
"93",2008.2015,2008,2015,840,19
"94",2008.2016,2008,2016,840,17
"95",2008.2017,2008,2017,840,18
"96",2008.2018,2008,2018,840,16
"97",2008.2019,2008,2019,840,18
"98",2009.1997,2009,1997,840,8
"99",2009.1998,2009,1998,840,13
"100",2010.1997,2010,1997,840,15
"101",2010.1998,2010,1998,840,16
"102",2010.1999,2010,1999,840,15
"103",2010.2,2010,2000,840,22
"104",2010.2001,2010,2001,840,19
"105",2010.2002,2010,2002,840,20
"106",2010.2003,2010,2003,840,15
"107",2010.2004,2010,2004,840,16
"108",2010.2005,2010,2005,840,17
"109",2010.2006,2010,2006,840,19
"110",2010.2007,2010,2007,840,22
"111",2010.2008,2010,2008,840,21
