"","Transect","RouteNumber","Year","CountryNum","Richness_ALL"
"1",2001.1997,2001,1997,840,10
"2",2001.1998,2001,1998,840,10
"3",2001.1999,2001,1999,840,10
"4",2001.2,2001,2000,840,10
"5",2001.2001,2001,2001,840,7
"6",2001.2002,2001,2002,840,7
"7",2001.2003,2001,2003,840,7
"8",2001.2004,2001,2004,840,9
"9",2001.2005,2001,2005,840,7
"10",2001.2006,2001,2006,840,11
"11",2001.2007,2001,2007,840,5
"12",2001.2008,2001,2008,840,6
"13",2001.2009,2001,2009,840,8
"14",2001.201,2001,2010,840,9
"15",2001.2011,2001,2011,840,9
"16",2001.2012,2001,2012,840,5
"17",2001.2013,2001,2013,840,10
"18",2001.2014,2001,2014,840,7
"19",2001.2015,2001,2015,840,9
"20",2001.2016,2001,2016,840,6
"21",2001.2017,2001,2017,840,7
"22",2001.2018,2001,2018,840,8
"23",2001.2019,2001,2019,840,9
"24",2004.1997,2004,1997,840,4
"25",2004.1998,2004,1998,840,4
"26",2004.1999,2004,1999,840,7
"27",2004.2001,2004,2001,840,3
"28",2004.2002,2004,2002,840,4
"29",2004.2003,2004,2003,840,5
"30",2004.2004,2004,2004,840,5
"31",2004.2005,2004,2005,840,6
"32",2004.201,2004,2010,840,7
"33",2004.2011,2004,2011,840,9
"34",2004.2012,2004,2012,840,9
"35",2004.2013,2004,2013,840,9
"36",2004.2014,2004,2014,840,5
"37",2004.2015,2004,2015,840,3
"38",2004.2016,2004,2016,840,5
"39",2004.2017,2004,2017,840,3
"40",2004.2018,2004,2018,840,3
"41",2004.2019,2004,2019,840,5
"42",2006.1997,2006,1997,840,4
"43",2006.1998,2006,1998,840,4
"44",2006.1999,2006,1999,840,4
"45",2006.2,2006,2000,840,6
"46",2006.2001,2006,2001,840,2
"47",2006.2002,2006,2002,840,3
"48",2006.2003,2006,2003,840,3
"49",2006.2004,2006,2004,840,5
"50",2006.2005,2006,2005,840,4
"51",2006.2006,2006,2006,840,3
"52",2006.2007,2006,2007,840,3
"53",2006.2008,2006,2008,840,4
"54",2006.2009,2006,2009,840,4
"55",2006.201,2006,2010,840,9
"56",2007.1997,2007,1997,840,11
"57",2007.1998,2007,1998,840,3
"58",2007.1999,2007,1999,840,6
"59",2007.2,2007,2000,840,5
"60",2007.2001,2007,2001,840,5
"61",2007.2002,2007,2002,840,7
"62",2007.2003,2007,2003,840,6
"63",2007.2004,2007,2004,840,6
"64",2007.2006,2007,2006,840,7
"65",2007.2007,2007,2007,840,4
"66",2007.2008,2007,2008,840,6
"67",2007.2009,2007,2009,840,6
"68",2007.201,2007,2010,840,4
"69",2007.2011,2007,2011,840,6
"70",2007.2012,2007,2012,840,8
"71",2007.2013,2007,2013,840,6
"72",2007.2014,2007,2014,840,8
"73",2007.2015,2007,2015,840,8
"74",2007.2016,2007,2016,840,9
"75",2007.2017,2007,2017,840,12
"76",2007.2018,2007,2018,840,9
"77",2007.2019,2007,2019,840,11
"78",2008.1997,2008,1997,840,8
"79",2008.1999,2008,1999,840,3
"80",2008.2,2008,2000,840,7
"81",2008.2001,2008,2001,840,7
"82",2008.2002,2008,2002,840,5
"83",2008.2003,2008,2003,840,4
"84",2008.2004,2008,2004,840,6
"85",2008.2006,2008,2006,840,5
"86",2008.2007,2008,2007,840,5
"87",2008.2008,2008,2008,840,5
"88",2008.2009,2008,2009,840,5
"89",2008.2011,2008,2011,840,7
"90",2008.2012,2008,2012,840,10
"91",2008.2013,2008,2013,840,8
"92",2008.2014,2008,2014,840,9
"93",2008.2015,2008,2015,840,7
"94",2008.2016,2008,2016,840,6
"95",2008.2017,2008,2017,840,7
"96",2008.2018,2008,2018,840,7
"97",2008.2019,2008,2019,840,6
"98",2009.1997,2009,1997,840,8
"99",2009.1998,2009,1998,840,10
"100",2010.1997,2010,1997,840,5
"101",2010.1998,2010,1998,840,4
"102",2010.1999,2010,1999,840,6
"103",2010.2,2010,2000,840,6
"104",2010.2001,2010,2001,840,5
"105",2010.2002,2010,2002,840,11
"106",2010.2003,2010,2003,840,4
"107",2010.2004,2010,2004,840,4
"108",2010.2005,2010,2005,840,7
"109",2010.2006,2010,2006,840,6
"110",2010.2007,2010,2007,840,7
"111",2010.2008,2010,2008,840,5
"112",2010.2009,2010,2009,840,7
"113",2010.201,2010,2010,840,9
"114",2010.2011,2010,2011,840,6
"115",2010.2012,2010,2012,840,6
"116",2010.2013,2010,2013,840,2
"117",2010.2014,2010,2014,840,3
"118",2010.2015,2010,2015,840,4
"119",2010.2016,2010,2016,840,7
"120",2010.2017,2010,2017,840,6
"121",2010.2018,2010,2018,840,6
"122",2010.2019,2010,2019,840,4
"123",2012.1998,2012,1998,840,8
"124",2012.2,2012,2000,840,8
"125",2012.2001,2012,2001,840,7
"126",2012.2003,2012,2003,840,4
"127",2012.2005,2012,2005,840,5
"128",2012.2009,2012,2009,840,4
"129",2012.201,2012,2010,840,7
"130",2012.2011,2012,2011,840,10
"131",2012.2012,2012,2012,840,5
"132",2012.2013,2012,2013,840,8
"133",2012.2014,2012,2014,840,7
"134",2012.2015,2012,2015,840,5
"135",2012.2016,2012,2016,840,2
"136",2012.2017,2012,2017,840,9
"137",2012.2018,2012,2018,840,2
"138",2012.2019,2012,2019,840,4
"139",2013.1997,2013,1997,840,6
"140",2013.1998,2013,1998,840,6
"141",2013.1999,2013,1999,840,6
"142",2013.2,2013,2000,840,8
"143",2013.2001,2013,2001,840,7
"144",2013.2002,2013,2002,840,3
"145",2013.2003,2013,2003,840,6
"146",2013.2005,2013,2005,840,6
"147",2013.2011,2013,2011,840,2
"148",2013.2012,2013,2012,840,2
"149",2013.2016,2013,2016,840,7
"150",2013.2017,2013,2017,840,5
"151",2013.2018,2013,2018,840,5
"152",2013.2019,2013,2019,840,6
"153",2014.1997,2014,1997,840,0
"154",2014.1998,2014,1998,840,2
"155",2014.1999,2014,1999,840,4
"156",2014.2,2014,2000,840,2
"157",2014.2001,2014,2001,840,2
"158",2014.2002,2014,2002,840,2
"159",2014.2003,2014,2003,840,5
"160",2014.2004,2014,2004,840,5
"161",2014.2005,2014,2005,840,3
"162",2014.2006,2014,2006,840,5
"163",2014.2007,2014,2007,840,6
"164",2014.2008,2014,2008,840,6
"165",2014.2009,2014,2009,840,3
"166",2014.201,2014,2010,840,7
"167",2014.2011,2014,2011,840,4
"168",2014.2012,2014,2012,840,4
"169",2014.2013,2014,2013,840,3
"170",2014.2014,2014,2014,840,7
"171",2014.2015,2014,2015,840,3
"172",2014.2016,2014,2016,840,1
"173",2014.2017,2014,2017,840,3
"174",2014.2018,2014,2018,840,2
"175",2014.2019,2014,2019,840,0
"176",2015.1997,2015,1997,840,6
"177",2015.1998,2015,1998,840,9
"178",2015.1999,2015,1999,840,9
"179",2015.2,2015,2000,840,10
"180",2015.2001,2015,2001,840,6
"181",2015.2002,2015,2002,840,6
"182",2015.2003,2015,2003,840,5
"183",2015.2005,2015,2005,840,5
"184",2015.2012,2015,2012,840,7
"185",2015.2013,2015,2013,840,10
"186",2015.2014,2015,2014,840,6
"187",2015.2015,2015,2015,840,6
"188",2015.2017,2015,2017,840,7
"189",2015.2018,2015,2018,840,2
"190",2015.2019,2015,2019,840,2
"191",2016.2001,2016,2001,840,6
"192",2016.2003,2016,2003,840,5
"193",2016.2004,2016,2004,840,6
"194",2016.2005,2016,2005,840,6
"195",2016.2006,2016,2006,840,5
"196",2016.2007,2016,2007,840,6
"197",2016.2008,2016,2008,840,3
"198",2016.2009,2016,2009,840,4
"199",2016.201,2016,2010,840,5
"200",2016.2011,2016,2011,840,5
"201",2016.2012,2016,2012,840,5
"202",2016.2013,2016,2013,840,5
"203",2016.2014,2016,2014,840,4
"204",2016.2015,2016,2015,840,4
"205",2016.2016,2016,2016,840,2
"206",2016.2017,2016,2017,840,4
"207",2016.2018,2016,2018,840,4
"208",2016.2019,2016,2019,840,3
"209",2017.1997,2017,1997,840,6
"210",2017.1998,2017,1998,840,5
"211",2017.1999,2017,1999,840,3
"212",2017.2,2017,2000,840,5
"213",2017.2001,2017,2001,840,1
"214",2017.2002,2017,2002,840,6
"215",2017.2003,2017,2003,840,3
"216",2017.2004,2017,2004,840,2
"217",2017.2005,2017,2005,840,3
"218",2017.2006,2017,2006,840,6
"219",2017.2007,2017,2007,840,6
"220",2017.2008,2017,2008,840,2
"221",2017.2009,2017,2009,840,3
"222",2017.201,2017,2010,840,3
"223",2017.2012,2017,2012,840,4
"224",2017.2013,2017,2013,840,0
"225",2017.2015,2017,2015,840,1
"226",2017.2016,2017,2016,840,2
"227",2017.2017,2017,2017,840,1
"228",2017.2018,2017,2018,840,2
"229",2017.2019,2017,2019,840,2
"230",2019.1997,2019,1997,840,4
"231",2019.1998,2019,1998,840,3
"232",2019.1999,2019,1999,840,5
"233",2019.2,2019,2000,840,4
"234",2019.2001,2019,2001,840,4
"235",2019.2002,2019,2002,840,4
"236",2019.2003,2019,2003,840,4
"237",2019.2004,2019,2004,840,3
"238",2019.2005,2019,2005,840,3
"239",2019.2006,2019,2006,840,2
"240",2019.2007,2019,2007,840,1
"241",2019.2008,2019,2008,840,2
"242",2019.2009,2019,2009,840,1
"243",2019.201,2019,2010,840,1
"244",2019.2011,2019,2011,840,2
"245",2019.2013,2019,2013,840,2
"246",2019.2014,2019,2014,840,2
"247",2019.2015,2019,2015,840,2
"248",2019.2016,2019,2016,840,2
"249",2019.2017,2019,2017,840,3
"250",2019.2018,2019,2018,840,4
"251",2019.2019,2019,2019,840,2
"252",2020.1997,2020,1997,840,8
"253",2020.1998,2020,1998,840,8
"254",2020.1999,2020,1999,840,8
"255",2020.2,2020,2000,840,9
"256",2020.2001,2020,2001,840,6
"257",2020.2002,2020,2002,840,7
"258",2020.2003,2020,2003,840,8
"259",2020.2004,2020,2004,840,8
"260",2020.2005,2020,2005,840,9
"261",2020.2007,2020,2007,840,5
"262",2020.2008,2020,2008,840,4
"263",2020.2009,2020,2009,840,6
"264",2020.201,2020,2010,840,7
"265",2020.2011,2020,2011,840,5
"266",2020.2012,2020,2012,840,4
"267",2020.2013,2020,2013,840,6
"268",2020.2014,2020,2014,840,4
"269",2020.2016,2020,2016,840,10
"270",2020.2017,2020,2017,840,8
"271",2020.2018,2020,2018,840,9
"272",2020.2019,2020,2019,840,6
"273",2021.1997,2021,1997,840,1
"274",2021.1998,2021,1998,840,2
"275",2021.1999,2021,1999,840,2
"276",2021.2,2021,2000,840,2
"277",2021.2001,2021,2001,840,2
"278",2021.2002,2021,2002,840,4
"279",2021.2003,2021,2003,840,4
"280",2021.2004,2021,2004,840,4
"281",2021.2005,2021,2005,840,2
"282",2021.2006,2021,2006,840,2
"283",2021.2007,2021,2007,840,6
"284",2021.2008,2021,2008,840,1
"285",2021.2009,2021,2009,840,3
"286",2021.201,2021,2010,840,2
"287",2021.2011,2021,2011,840,3
"288",2021.2012,2021,2012,840,2
"289",2021.2013,2021,2013,840,2
"290",2021.2014,2021,2014,840,2
"291",2021.2016,2021,2016,840,3
"292",2021.2017,2021,2017,840,2
"293",2021.2018,2021,2018,840,2
"294",2021.2019,2021,2019,840,2
"295",2022.1997,2022,1997,840,4
"296",2022.1998,2022,1998,840,7
"297",2022.1999,2022,1999,840,4
"298",2022.2,2022,2000,840,6
"299",2022.2001,2022,2001,840,1
"300",2022.2002,2022,2002,840,5
"301",2022.2003,2022,2003,840,5
"302",2022.2004,2022,2004,840,5
"303",2022.2005,2022,2005,840,3
"304",2022.2006,2022,2006,840,4
"305",2022.2007,2022,2007,840,3
"306",2022.2008,2022,2008,840,7
"307",2022.2009,2022,2009,840,4
"308",2022.201,2022,2010,840,3
"309",2022.2011,2022,2011,840,1
"310",2022.2012,2022,2012,840,3
"311",2022.2013,2022,2013,840,6
"312",2022.2014,2022,2014,840,5
"313",2022.2015,2022,2015,840,6
"314",2022.2016,2022,2016,840,2
"315",2022.2017,2022,2017,840,4
"316",2022.2018,2022,2018,840,2
"317",2022.2019,2022,2019,840,3
"318",2023.1997,2023,1997,840,4
"319",2023.1998,2023,1998,840,6
"320",2023.1999,2023,1999,840,5
"321",2023.2,2023,2000,840,2
"322",2023.2001,2023,2001,840,3
"323",2023.2002,2023,2002,840,4
"324",2023.2003,2023,2003,840,5
"325",2023.2004,2023,2004,840,5
"326",2023.2005,2023,2005,840,4
"327",2023.2009,2023,2009,840,3
"328",2023.2011,2023,2011,840,4
"329",2023.2012,2023,2012,840,3
"330",2023.2013,2023,2013,840,3
"331",2023.2014,2023,2014,840,4
"332",2023.2015,2023,2015,840,3
"333",2023.2017,2023,2017,840,4
"334",2024.1998,2024,1998,840,8
"335",2024.1999,2024,1999,840,8
"336",2024.2,2024,2000,840,8
"337",2024.2001,2024,2001,840,9
"338",2024.2002,2024,2002,840,7
"339",2024.2003,2024,2003,840,5
"340",2024.2004,2024,2004,840,8
"341",2024.2005,2024,2005,840,6
"342",2024.2006,2024,2006,840,8
"343",2024.2007,2024,2007,840,8
"344",2024.2008,2024,2008,840,8
"345",2024.2009,2024,2009,840,5
"346",2024.201,2024,2010,840,3
"347",2024.2011,2024,2011,840,5
"348",2024.2012,2024,2012,840,5
"349",2024.2013,2024,2013,840,8
"350",2024.2014,2024,2014,840,5
"351",2024.2015,2024,2015,840,6
"352",2024.2016,2024,2016,840,5
"353",2024.2017,2024,2017,840,3
"354",2024.2018,2024,2018,840,6
"355",2024.2019,2024,2019,840,4
"356",2025.1997,2025,1997,840,7
"357",2025.1998,2025,1998,840,6
"358",2025.2,2025,2000,840,5
"359",2025.2001,2025,2001,840,6
"360",2025.2002,2025,2002,840,6
"361",2025.2003,2025,2003,840,4
"362",2025.2004,2025,2004,840,7
"363",2025.2005,2025,2005,840,4
"364",2025.2006,2025,2006,840,7
"365",2025.2007,2025,2007,840,8
"366",2025.2008,2025,2008,840,7
"367",2025.2009,2025,2009,840,11
"368",2025.201,2025,2010,840,7
"369",2025.2011,2025,2011,840,11
"370",2025.2012,2025,2012,840,5
"371",2025.2013,2025,2013,840,8
"372",2025.2014,2025,2014,840,8
"373",2025.2015,2025,2015,840,9
