"","Transect","RouteNumber","Year","CountryNum","TA_ALL"
"1",2001.1997,2001,1997,840,61
"2",2001.1998,2001,1998,840,140
"3",2001.1999,2001,1999,840,114
"4",2001.2,2001,2000,840,77
"5",2001.2001,2001,2001,840,49
"6",2001.2002,2001,2002,840,20
"7",2001.2003,2001,2003,840,23
"8",2001.2004,2001,2004,840,31
"9",2001.2005,2001,2005,840,42
"10",2001.2006,2001,2006,840,35
"11",2001.2007,2001,2007,840,12
"12",2001.2008,2001,2008,840,28
"13",2001.2009,2001,2009,840,13
"14",2001.201,2001,2010,840,64
"15",2001.2011,2001,2011,840,31
"16",2001.2012,2001,2012,840,11
"17",2001.2013,2001,2013,840,52
"18",2001.2014,2001,2014,840,17
"19",2001.2015,2001,2015,840,25
"20",2001.2016,2001,2016,840,8
"21",2001.2017,2001,2017,840,20
"22",2001.2018,2001,2018,840,21
"23",2001.2019,2001,2019,840,53
"24",2004.1997,2004,1997,840,5
"25",2004.1998,2004,1998,840,22
"26",2004.1999,2004,1999,840,37
"27",2004.2001,2004,2001,840,76
"28",2004.2002,2004,2002,840,15
"29",2004.2003,2004,2003,840,32
"30",2004.2004,2004,2004,840,26
"31",2004.2005,2004,2005,840,19
"32",2004.201,2004,2010,840,16
"33",2004.2011,2004,2011,840,22
"34",2004.2012,2004,2012,840,19
"35",2004.2013,2004,2013,840,30
"36",2004.2014,2004,2014,840,14
"37",2004.2015,2004,2015,840,14
"38",2004.2016,2004,2016,840,7
"39",2004.2017,2004,2017,840,4
"40",2004.2018,2004,2018,840,6
"41",2004.2019,2004,2019,840,9
"42",2006.1997,2006,1997,840,15
"43",2006.1998,2006,1998,840,12
"44",2006.1999,2006,1999,840,7
"45",2006.2,2006,2000,840,28
"46",2006.2001,2006,2001,840,7
"47",2006.2002,2006,2002,840,41
"48",2006.2003,2006,2003,840,4
"49",2006.2004,2006,2004,840,26
"50",2006.2005,2006,2005,840,29
"51",2006.2006,2006,2006,840,6
